params=118.2M  attention=gated  block=2048  micro=16 accum=8 -> 262,144 tok/step  steps=3200
train_tokens=841,431,780  val_tokens=471,605  device=cuda
step  2020 | loss 4.7719 | lr 1.21e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  2030 | loss 4.7625 | lr 1.19e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  2040 | loss 4.6072 | lr 1.18e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  2050 | loss 4.5694 | lr 1.17e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  2060 | loss 4.6771 | lr 1.15e-04 |   1815ms |  144.4k tok/s | mfu 32.8%
step  2070 | loss 4.7246 | lr 1.14e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  2080 | loss 4.5558 | lr 1.13e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  2090 | loss 4.7876 | lr 1.11e-04 |   1816ms |  144.3k tok/s | mfu 32.8%
step  2100 | loss 4.9044 | lr 1.10e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  2110 | loss 4.7077 | lr 1.09e-04 |   1819ms |  144.1k tok/s | mfu 32.7%
step  2120 | loss 4.5798 | lr 1.08e-04 |   1817ms |  144.2k tok/s | mfu 32.8%
step  2130 | loss 4.5351 | lr 1.06e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  2140 | loss 4.5166 | lr 1.05e-04 |   1816ms |  144.4k tok/s | mfu 32.8%
step  2150 | loss 4.4777 | lr 1.04e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  2160 | loss 4.4632 | lr 1.02e-04 |   1819ms |  144.1k tok/s | mfu 32.7%
step  2170 | loss 4.6320 | lr 1.01e-04 |   1816ms |  144.3k tok/s | mfu 32.8%
step  2180 | loss 4.6046 | lr 1.00e-04 |   1817ms |  144.2k tok/s | mfu 32.8%
step  2190 | loss 4.5609 | lr 9.87e-05 |   1816ms |  144.3k tok/s | mfu 32.8%
step  2200 | loss 4.6085 | lr 9.75e-05 |   1817ms |  144.3k tok/s | mfu 32.8%
step  2210 | loss 4.5883 | lr 9.63e-05 |   1816ms |  144.3k tok/s | mfu 32.8%
step  2220 | loss 4.5215 | lr 9.51e-05 |   1817ms |  144.3k tok/s | mfu 32.8%
step  2230 | loss 4.6871 | lr 9.39e-05 |   1818ms |  144.2k tok/s | mfu 32.8%
step  2240 | loss 4.4718 | lr 9.27e-05 |   1817ms |  144.2k tok/s | mfu 32.8%
step  2250 | loss 4.4607 | lr 9.15e-05 |   1817ms |  144.3k tok/s | mfu 32.8%
  [eval] step 2250 val_loss 4.6782
step  2260 | loss 4.7007 | lr 9.03e-05 |   1817ms |  144.2k tok/s | mfu 32.8%
step  2270 | loss 4.4553 | lr 8.91e-05 |   1819ms |  144.1k tok/s | mfu 32.8%
step  2280 | loss 4.5508 | lr 8.80e-05 |   1816ms |  144.4k tok/s | mfu 32.8%
step  2290 | loss 4.3033 | lr 8.68e-05 |   1818ms |  144.2k tok/s | mfu 32.8%
step  2300 | loss 4.5239 | lr 8.56e-05 |   1815ms |  144.4k tok/s | mfu 32.8%
step  2310 | loss 4.5572 | lr 8.45e-05 |   1815ms |  144.4k tok/s | mfu 32.8%
step  2320 | loss 4.4325 | lr 8.34e-05 |   1817ms |  144.3k tok/s | mfu 32.8%
step  2330 | loss 4.6017 | lr 8.23e-05 |   1816ms |  144.3k tok/s | mfu 32.8%
step  2340 | loss 4.4160 | lr 8.11e-05 |   1815ms |  144.4k tok/s | mfu 32.8%
step  2350 | loss 4.6174 | lr 8.00e-05 |   1815ms |  144.4k tok/s | mfu 32.8%
step  2360 | loss 4.4721 | lr 7.89e-05 |   1816ms |  144.4k tok/s | mfu 32.8%
step  2370 | loss 4.5293 | lr 7.79e-05 |   1816ms |  144.3k tok/s | mfu 32.8%
step  2380 | loss 4.4035 | lr 7.68e-05 |   1817ms |  144.3k tok/s | mfu 32.8%
step  2390 | loss 4.5590 | lr 7.57e-05 |   1816ms |  144.4k tok/s | mfu 32.8%
step  2400 | loss 4.5969 | lr 7.47e-05 |   1815ms |  144.4k tok/s | mfu 32.8%
step  2410 | loss 4.5486 | lr 7.36e-05 |   1816ms |  144.3k tok/s | mfu 32.8%
step  2420 | loss 4.6876 | lr 7.26e-05 |   1818ms |  144.2k tok/s | mfu 32.8%
step  2430 | loss 4.5545 | lr 7.16e-05 |   1822ms |  143.9k tok/s | mfu 32.7%
step  2440 | loss 4.5725 | lr 7.05e-05 |   1817ms |  144.3k tok/s | mfu 32.8%
step  2450 | loss 4.7207 | lr 6.95e-05 |   1817ms |  144.3k tok/s | mfu 32.8%
step  2460 | loss 4.5885 | lr 6.85e-05 |   1817ms |  144.3k tok/s | mfu 32.8%
step  2470 | loss 4.5575 | lr 6.76e-05 |   1817ms |  144.3k tok/s | mfu 32.8%
step  2480 | loss 4.4494 | lr 6.66e-05 |   1816ms |  144.3k tok/s | mfu 32.8%
step  2490 | loss 4.6162 | lr 6.56e-05 |   1816ms |  144.4k tok/s | mfu 32.8%
step  2500 | loss 4.5240 | lr 6.47e-05 |   1815ms |  144.4k tok/s | mfu 32.8%
  [eval] step 2500 val_loss 4.4796
step  2510 | loss 4.3966 | lr 6.37e-05 |   1814ms |  144.5k tok/s | mfu 32.8%
step  2520 | loss 4.6429 | lr 6.28e-05 |   1815ms |  144.4k tok/s | mfu 32.8%
step  2530 | loss 4.5062 | lr 6.19e-05 |   1816ms |  144.4k tok/s | mfu 32.8%
step  2540 | loss 4.5300 | lr 6.10e-05 |   1817ms |  144.3k tok/s | mfu 32.8%
step  2550 | loss 4.6114 | lr 6.01e-05 |   1816ms |  144.3k tok/s | mfu 32.8%
step  2560 | loss 4.5280 | lr 5.92e-05 |   1818ms |  144.2k tok/s | mfu 32.8%
step  2570 | loss 4.3038 | lr 5.83e-05 |   1816ms |  144.4k tok/s | mfu 32.8%
step  2580 | loss 4.3751 | lr 5.75e-05 |   1816ms |  144.3k tok/s | mfu 32.8%
step  2590 | loss 4.5706 | lr 5.66e-05 |   1818ms |  144.2k tok/s | mfu 32.8%
step  2600 | loss 4.5269 | lr 5.58e-05 |   1816ms |  144.4k tok/s | mfu 32.8%
step  2610 | loss 4.3458 | lr 5.50e-05 |   1817ms |  144.3k tok/s | mfu 32.8%
step  2620 | loss 4.5085 | lr 5.41e-05 |   1817ms |  144.3k tok/s | mfu 32.8%
step  2630 | loss 4.4427 | lr 5.33e-05 |   1818ms |  144.2k tok/s | mfu 32.8%
